jds,mags,magerrs,flxs,fluxerr
2459135.889,12.48366841,0.07053994201,133.82357760030135,12353329.434511654
2459137.882,12.55573895,0.0859866103,125.22885796067749,12178824.041744007
2459139.878,12.51111539,0.08993778196,130.4829731913278,12134583.856235677
2459141.87,12.68568427,0.09522386892,111.10312947105649,12075648.205640439
2459143.868,12.4486794,0.05829213112,138.20642717129533,12493471.992473599
2459145.864,12.52721101,0.05709811709,128.5628809746645,12507218.965552486
2459149.85,12.55145924,0.112810655,125.72345403468627,11881622.172739616
2459151.842,12.52944504,0.0963546322,128.29861968663286,12063078.309296258
2459153.835,12.5171797,0.07110482862,129.75620046631508,12346903.918484336
2459155.831,12.59639685,0.09963554759,120.62609257307415,12026680.70157603
2459156.85,12.57460472,0.08550252576,123.07167517963316,12184255.28268483
2459157.824,12.51836984,0.07489904961,129.614044907917,12303831.649770556
2459158.822,12.54790583,0.06034491977,126.1355972738737,12469873.048330508
2459163.929,12.60452088,0.07069912368,119.72687524830737,12351518.424196724
2459165.878,12.70951274,0.09861825418,108.69133024393703,12037954.52339859
2459169.813,12.59065302,0.06748778066,121.26592727412577,12388105.285558803
2459171.798,12.61779274,0.07433015797,118.27226229132978,12310280.160031568
2459173.781,12.70296718,0.09745086019,109.34857504872197,12050904.808549626
2459174.78,12.63169946,0.08699634206,116.76702517258579,12167503.03310155
2459176.772,12.62747729,0.07086255345,117.22198842434135,12349659.35945405
2459178.767,12.64255634,0.07263373618,115.60522518615778,12329529.541876294
2459180.762,12.6241648,0.09935241824,117.5801689803869,12029817.329323351
2459181.758,12.64088887,0.0757228787,115.78290770813173,12294499.355431264
2459183.756,12.70516955,0.2043421945,109.1269908991451,10921017.982179388
2459184.763,12.61326261,0.07189296796,118.7667728740265,12337944.514159352
2459185.748,12.63959824,0.1050249331,115.92062232538548,11967130.493934933
2459186.746,12.55735919,0.09124422803,125.04211878299786,12119991.319643514
2459187.743,12.52406902,0.06722972496,128.93546533768065,12391050.016612617
2459188.74,12.63976867,0.09470382577,115.90242748112941,12081433.55414312
2459189.739,12.54789514,0.05974697245,126.13683919264453,12476742.470870893
2459190.734,12.60553232,0.09736159778,119.61539313811853,12051895.598965159
2459195.722,12.52963683,0.0594707505,128.27595836338503,12479917.080458082
2459197.718,12.53898951,0.1930443501,127.17571734976556,11035252.122988382
2459199.735,12.48232198,0.05890038252,133.9896362145783,12486474.856714962
2459200.707,12.56427549,0.12417777,124.24811366611227,11757876.439824628
2459202.702,12.4491948,0.06301865928,138.14083601934246,12439202.45570262
