Name,RA,Dec,Classification,Instrument_Date
WISE-ToI-2706,276.816597,-25.1994733,M-star,TSPEC_20210915
WISE-ToI-2710,277.0001371,-25.8728218,M-star,TSPEC_20210915
WISE-ToI-2713,277.2730555,-5.4919646,M-star,TSPEC_20191023
WISE-ToI-2714,277.3056885,-5.7146875,M-star,TSPEC_20210727
WISE-ToI-2716,277.3646088,-9.0822847,M-star,TSPEC_20201003
WISE-ToI-2717,277.4069105,-17.8678903,M-star,TSPEC_20201003
WISE-ToI-2718,277.5251568,-18.028437,M-star,TSPEC_20201003
WISE-ToI-2721,277.6535321,-21.5664749,M-star,TSPEC_20201003
WISE-ToI-2722,277.6856723,-10.1325731,Em. star,TSPEC_20201003
WISE-ToI-2733,278.3824062,-7.3570488,M-star,TSPEC_20201003
WISE-ToI-2737,278.5961709,-26.9086842,M-star,TSPEC_20210915
WISE-ToI-2742,278.8495867,-17.8154025,M-star,TSPEC_20191023
WISE-ToI-2748,279.1113947,-14.3879922,M-star,IRTF_20210724
WISE-ToI-2754,279.5474833,-10.8741809,M-star,TSPEC_20210915
WISE-ToI-2759,279.8171388,-16.0813531,M-star,IRTF_20210724
WISE-ToI-2760,279.8820552,0.0827119,M-star,TSPEC_20210629
WISE-ToI-2762,280.2918192,5.6101703,M-star,TSPEC_20191023
WISE-ToI-2766,280.6520065,2.8435492,M-star,TSPEC_20210915
WISE-ToI-2774,281.1292033,-14.4495197,M-star,TSPEC_20191023
WISE-ToI-2779,281.6833915,-6.1771145,M-star,IRTF_20210727
WISE-ToI-2781,281.7134998,15.2933151,M-star,TSPEC_20191023
WISE-ToI-2786,282.1011829,-15.977605,M-star,TSPEC_20210429
WISE-ToI-2787,282.1404102,-4.2732241,M-star,TSPEC_20210528
WISE-ToI-2788,282.2040842,5.28604,H-rich,TSPEC_20201003
WISE-ToI-2796,282.9623796,9.4088221,H-rich,TSPEC_20191023
WISE-ToI-2798,283.0764506,-26.4657686,M-star,TSPEC_20210915
WISE-ToI-2799,283.2306933,-2.8230961,Symb?,TSPEC_20210915
WISE-ToI-2800,283.2805736,-11.9253498,M-star,TSPEC_20210429
WISE-ToI-2801,283.3181796,-27.2313085,M-star,TSPEC_20210915
WISE-ToI-2803,283.3838722,11.750421,M-star,TSPEC_20191023
WISE-ToI-2808,283.8489907,-11.1703087,M-star,TSPEC_20210915
WISE-ToI-2813,284.1052557,-3.9086679,M-star,IRTF_20210727
WISE-ToI-2814,284.2417664,-10.6073496,RVT/YSO,TSPEC_20210629
WISE-ToI-2822,285.0050168,11.7079395,H-rich,TSPEC_20191023
WISE-ToI-2825,285.3360215,0.0759249,M-star,TSPEC_20191023
WISE-ToI-2832,286.2157942,2.9050046,M-star,TSPEC_20191023
WISE-ToI-2833,286.2273244,10.5350501,H-rich,TSPEC_20201003
WISE-ToI-2835,286.6294707,9.9548038,M-star,IRTF_20210727
WISE-ToI-2843,287.0766192,1.774292,M-star,IRTF_20210727
WISE-ToI-2844,287.1636217,-3.9143203,H-rich,TSPEC_20191023
WISE-ToI-2845,287.1709444,10.0359287,RVT/YSO,IRTF_20210727
WISE-ToI-2846,287.1863539,13.710715,M-star,TSPEC_20201003
WISE-ToI-2849,287.4676926,-6.2563977,M-star,TSPEC_20191023
WISE-ToI-2853,288.4014329,-1.9167583,H-rich,TSPEC_20191023
WISE-ToI-2856,288.7798277,-1.7132449,Symb?,TSPEC_20210915
WISE-ToI-2859,289.1137426,12.5909801,M-star,TSPEC_20201003
WISE-ToI-2860,289.220707,7.2906979,M-star,TSPEC_20201003
WISE-ToI-2864,289.3169734,-12.5212723,H-rich,TSPEC_20210629
WISE-ToI-2865,289.7301865,29.1467972,M-star,TSPEC_20211015
WISE-ToI-2868,290.2716433,10.6121891,M-star,TSPEC_20201003
WISE-ToI-2871,290.4820728,18.8180593,M-star,IRTF_20210727
WISE-ToI-2874,290.7832392,-1.460521,H-rich,TSPEC_20191023
WISE-ToI-2875,290.8531049,5.5453965,M-star,TSPEC_20211015
WISE-ToI-2876,291.3600351,12.3037587,M-star,IRTF_20210727
WISE-ToI-2877,291.3656644,23.5975906,M-star,TSPEC_20191023
WISE-ToI-2887,292.5645781,19.3477017,Em. star,TSPEC_20211129
WISE-ToI-2889,292.82132,20.3221278,M-star,TSPEC_20240517
WISE-ToI-2892,293.8102129,19.615542,H-rich,IRTF_20210727
WISE-ToI-2894,294.4468843,23.6827276,M-star,TSPEC_20191023
WISE-ToI-2896,295.1753431,1.0169208,Symb?,TSPEC_20210915
WISE-ToI-2898,295.4598314,23.3829778,M-star,TSPEC_20191023
WISE-ToI-2904,296.490374,-1.8444947,Symb?,TSPEC_20210915
WISE-ToI-2910,297.5343718,34.1660023,H-rich,TSPEC_20201029
WISE-ToI-2914,299.3234382,28.1887125,Em. star,TSPEC_20201003
